NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B25075_001E,B25026_002E,B25026_008E,B25026_007E,B25026_006E,B25026_006E,B25026_004E,B25026_003E,B25077_001E,B25075_025E,B15003_022E,B17001_001E,B19001_017E,B19013_001E
"Geneva County, Alabama",0500000US01061,26765.0,42.0,23235.0,8018.0,19650.0,2329.0,1652.0,4277.0,4277.0,3762.0,205.0,81500.0,30.0,1559.0,26401.0,136.0,36519.0
"Greene County, Alabama",0500000US01063,8587.0,41.3,1472.0,2189.0,6038.0,1404.0,764.0,1790.0,1790.0,460.0,8.0,68100.0,0.0,457.0,8534.0,0.0,21339.0
"Hale County, Alabama",0500000US01065,15159.0,39.7,6062.0,4467.0,11690.0,1848.0,888.0,2495.0,2495.0,1372.0,297.0,89400.0,47.0,992.0,14889.0,107.0,33351.0
"Henry County, Alabama",0500000US01067,17187.0,43.2,12113.0,5471.0,13417.0,1443.0,1243.0,2770.0,2770.0,2510.0,240.0,101800.0,0.0,1102.0,16923.0,73.0,41045.0
"Houston County, Alabama",0500000US01069,103891.0,39.3,72332.0,25354.0,65515.0,7485.0,5611.0,13016.0,13016.0,11368.0,1185.0,124800.0,59.0,9614.0,102830.0,1247.0,41945.0
"Jackson County, Alabama",0500000US01071,52608.0,42.8,47949.0,14527.0,37994.0,5136.0,3870.0,8868.0,8868.0,5444.0,424.0,103800.0,10.0,2929.0,52043.0,353.0,38422.0
"Jefferson County, Alabama",0500000US01073,659096.0,37.5,345499.0,164876.0,415767.0,52992.0,37121.0,81729.0,81729.0,75382.0,8718.0,145700.0,1193.0,84843.0,644879.0,11420.0,47220.0
"Lamar County, Alabama",0500000US01075,14066.0,44.3,12315.0,4396.0,10127.0,1467.0,1730.0,1851.0,1851.0,1357.0,165.0,71100.0,4.0,814.0,13922.0,70.0,34298.0
"Lauderdale County, Alabama",0500000US01077,92641.0,41.3,80627.0,26319.0,64128.0,8415.0,5647.0,13635.0,13635.0,11896.0,1641.0,124100.0,61.0,8196.0,90480.0,905.0,43657.0
"Lawrence County, Alabama",0500000US01079,33433.0,42.2,26108.0,10626.0,26245.0,3406.0,3118.0,5408.0,5408.0,4335.0,296.0,97600.0,2.0,1700.0,33096.0,69.0,42339.0
"Lee County, Alabama",0500000US01081,153947.0,30.5,107682.0,34032.0,89734.0,5292.0,6231.0,15418.0,15418.0,22738.0,2768.0,156400.0,27.0,17732.0,148121.0,1844.0,45056.0
"Limestone County, Alabama",0500000US01083,90257.0,39.0,73517.0,24364.0,66137.0,5438.0,5863.0,10617.0,10617.0,14649.0,1630.0,142500.0,36.0,9700.0,87161.0,1175.0,51115.0
"Lowndes County, Alabama",0500000US01085,10565.0,40.4,2612.0,3118.0,7475.0,1072.0,761.0,2254.0,2254.0,1183.0,198.0,68900.0,7.0,679.0,10474.0,57.0,27914.0
"Macon County, Alabama",0500000US01087,19684.0,38.2,3106.0,5222.0,11491.0,2349.0,1931.0,2333.0,2333.0,1087.0,105.0,77000.0,29.0,1369.0,17395.0,22.0,32390.0
"Madison County, Alabama",0500000US01089,349973.0,38.1,240861.0,95114.0,239464.0,17131.0,15310.0,44986.0,44986.0,50162.0,5300.0,171200.0,583.0,60122.0,341264.0,7947.0,60150.0
"Marengo County, Alabama",0500000US01091,20066.0,42.2,9167.0,5683.0,14239.0,1970.0,1405.0,3391.0,3391.0,1942.0,359.0,87900.0,9.0,1414.0,19814.0,92.0,30713.0
"Marion County, Alabama",0500000US01093,30239.0,43.9,28242.0,9552.0,23230.0,2743.0,2914.0,3990.0,3990.0,4295.0,522.0,85500.0,31.0,1713.0,29574.0,238.0,34074.0
"Marshall County, Alabama",0500000US01095,94534.0,38.8,87423.0,24342.0,65676.0,6205.0,5659.0,13456.0,13456.0,12217.0,1886.0,115700.0,94.0,6877.0,93300.0,891.0,39831.0
"Mobile County, Alabama",0500000US01097,414291.0,37.2,246794.0,101766.0,270845.0,35148.0,25583.0,56696.0,56696.0,46366.0,5221.0,123500.0,406.0,41373.0,403782.0,3865.0,44263.0
"Monroe County, Alabama",0500000US01099,21975.0,41.5,12065.0,5100.0,14137.0,1657.0,1864.0,3588.0,3588.0,1413.0,184.0,87700.0,10.0,1158.0,21722.0,66.0,28182.0
"Montgomery County, Alabama",0500000US01101,227392.0,36.0,85928.0,53031.0,130798.0,12815.0,11445.0,29662.0,29662.0,21180.0,2575.0,122000.0,287.0,28639.0,220452.0,3107.0,45358.0
"Morgan County, Alabama",0500000US01103,119555.0,39.8,97880.0,32717.0,84307.0,6886.0,8755.0,19111.0,19111.0,14189.0,2287.0,124900.0,77.0,11960.0,117554.0,963.0,46883.0
"Perry County, Alabama",0500000US01105,9856.0,37.1,2962.0,2345.0,6389.0,887.0,768.0,1743.0,1743.0,520.0,0.0,73700.0,0.0,475.0,9058.0,35.0,24912.0
"Pickens County, Alabama",0500000US01107,20042.0,42.2,11254.0,5541.0,14148.0,2378.0,1482.0,3453.0,3453.0,2279.0,55.0,89100.0,15.0,1105.0,19122.0,134.0,31679.0
"Pike County, Alabama",0500000US01109,33277.0,31.2,19408.0,7592.0,19726.0,2086.0,1778.0,4577.0,4577.0,3767.0,82.0,102300.0,10.0,2888.0,31365.0,166.0,33193.0
"Randolph County, Alabama",0500000US01111,22615.0,42.8,17452.0,6172.0,15681.0,2113.0,2182.0,3684.0,3684.0,2470.0,421.0,85600.0,36.0,1555.0,22089.0,104.0,37496.0
"Russell County, Alabama",0500000US01113,58636.0,34.8,30392.0,13103.0,33794.0,3753.0,3593.0,5964.0,5964.0,7923.0,523.0,114000.0,46.0,4152.0,57669.0,203.0,38400.0
"St. Clair County, Alabama",0500000US01115,86576.0,40.0,75738.0,25809.0,68870.0,3869.0,4068.0,13299.0,13299.0,15884.0,1760.0,142800.0,66.0,6314.0,84517.0,566.0,54042.0
"Shelby County, Alabama",0500000US01117,205951.0,38.1,167257.0,60224.0,164262.0,6112.0,10095.0,31318.0,31318.0,33241.0,3734.0,195400.0,345.0,38107.0,202821.0,4776.0,72310.0
"Sumter County, Alabama",0500000US01119,13285.0,36.5,3280.0,3225.0,8534.0,1473.0,634.0,2157.0,2157.0,1613.0,51.0,73400.0,19.0,907.0,12478.0,21.0,20428.0
"Talladega County, Alabama",0500000US01121,81057.0,40.8,52390.0,22718.0,56881.0,7465.0,5945.0,12042.0,12042.0,9815.0,1673.0,94200.0,46.0,4519.0,77517.0,351.0,37923.0
"Tallapoosa County, Alabama",0500000US01123,40958.0,43.0,28778.0,11571.0,28186.0,3485.0,4077.0,6009.0,6009.0,4259.0,431.0,105200.0,30.0,3372.0,40372.0,219.0,39395.0
"Tuscaloosa County, Alabama",0500000US01125,202471.0,32.1,132344.0,44393.0,124737.0,10802.0,11124.0,22081.0,22081.0,27372.0,2137.0,160000.0,170.0,22314.0,191934.0,2111.0,48022.0
