NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B25075_001E,B25026_002E,B25026_008E,B25026_007E,B25026_006E,B25026_006E,B25026_004E,B25026_003E,B25077_001E,B25075_025E,B15003_022E,B17001_001E,B19001_017E,B19013_001E
New Jersey,0400000US34,8915456.0,39.5,6075710.0,2047794.0,5805032.0,608589.0,604282.0,1326439.0,1326439.0,821382.0,99107.0,316400.0,38095.0,1411979.0,8739058.0,343659.0,73702.0
New Mexico,0400000US35,2082669.0,37.2,1530636.0,516819.0,1400512.0,141048.0,128402.0,289836.0,289836.0,243159.0,26957.0,161600.0,3066.0,206247.0,2042014.0,23902.0,45674.0
New York,0400000US36,19697457.0,38.2,12667413.0,3894613.0,10805003.0,1361007.0,1259437.0,2459790.0,2459790.0,1568837.0,169107.0,286300.0,102606.0,2654203.0,19186062.0,584890.0,60741.0
North Carolina,0400000US37,9940828.0,38.3,6882915.0,2471723.0,6367163.0,591519.0,532099.0,1268047.0,1268047.0,1141950.0,146645.0,157100.0,14459.0,1255557.0,9685511.0,149227.0,48256.0
North Dakota,0400000US38,736162.0,35.2,649730.0,193909.0,485792.0,45587.0,40454.0,81069.0,81069.0,132277.0,12595.0,164000.0,660.0,97890.0,710355.0,14859.0,59114.0
Ohio,0400000US39,11586941.0,39.3,9519506.0,3035485.0,7726115.0,904954.0,736049.0,1642801.0,1642801.0,1302198.0,169711.0,131900.0,8354.0,1310995.0,11267500.0,168570.0,50674.0
Oklahoma,0400000US40,3875589.0,36.2,2823497.0,960161.0,2512787.0,201141.0,199294.0,437669.0,437669.0,581585.0,65116.0,121300.0,3131.0,413818.0,3760050.0,48490.0,48038.0
Oregon,0400000US41,3982267.0,39.1,3387825.0,948587.0,2437432.0,168314.0,188796.0,463760.0,463760.0,512997.0,78951.0,247200.0,8567.0,538977.0,3905386.0,66308.0,53270.0
Pennsylvania,0400000US42,12783977.0,40.6,10402743.0,3425706.0,8900577.0,1239049.0,1007799.0,1896071.0,1896071.0,1320531.0,147691.0,167700.0,18953.0,1578040.0,12369671.0,243593.0,54895.0
Rhode Island,0400000US44,1054491.0,39.9,854026.0,244748.0,641286.0,86265.0,74603.0,139001.0,139001.0,91180.0,11247.0,238200.0,2315.0,140296.0,1013916.0,22521.0,58387.0
South Carolina,0400000US45,4834605.0,38.8,3252252.0,1258661.0,3231650.0,326304.0,278150.0,633086.0,633086.0,612184.0,79303.0,143600.0,7671.0,551968.0,4693266.0,58221.0,46898.0
South Dakota,0400000US46,851058.0,36.8,721410.0,226145.0,576205.0,47055.0,43588.0,101442.0,101442.0,135322.0,14792.0,146700.0,845.0,107762.0,822334.0,11569.0,52078.0
Tennessee,0400000US47,6548009.0,38.5,5096733.0,1673043.0,4308146.0,390016.0,368343.0,860708.0,860708.0,832077.0,100881.0,146000.0,8265.0,712781.0,6386751.0,88253.0,46574.0
Texas,0400000US48,26956435.0,34.2,20174403.0,5747458.0,16999917.0,1155707.0,1206834.0,3070005.0,3070005.0,3695642.0,413892.0,142700.0,36086.0,3158468.0,26334005.0,531221.0,54727.0
Utah,0400000US49,2948427.0,30.3,2572595.0,638767.0,2085790.0,140266.0,124034.0,358044.0,358044.0,481380.0,62887.0,224600.0,4149.0,358887.0,2901465.0,42247.0,62518.0
Vermont,0400000US50,626249.0,42.6,592965.0,181461.0,440806.0,46302.0,56404.0,96543.0,96543.0,68223.0,8576.0,218900.0,1160.0,94823.0,601538.0,10301.0,56104.0
Virginia,0400000US51,8310301.0,37.8,5712958.0,2032761.0,5412343.0,462253.0,486041.0,1060276.0,1060276.0,1025284.0,112782.0,248400.0,31900.0,1191485.0,8060892.0,263088.0,66149.0
Washington,0400000US53,7073146.0,37.6,5470566.0,1683381.0,4463390.0,291047.0,346611.0,861432.0,861432.0,922881.0,133887.0,269300.0,25872.0,1022117.0,6939622.0,170306.0,62848.0
West Virginia,0400000US54,1846092.0,41.9,1725411.0,535940.0,1334381.0,191246.0,150905.0,272499.0,272499.0,212194.0,20827.0,107400.0,968.0,153834.0,1792808.0,16737.0,42644.0
Wisconsin,0400000US55,5754798.0,39.1,4961193.0,1547633.0,3934024.0,390856.0,352708.0,836074.0,836074.0,674693.0,87609.0,167000.0,5947.0,729499.0,5603274.0,82489.0,54610.0
Wyoming,0400000US56,583029.0,36.8,531851.0,155741.0,398018.0,30500.0,32273.0,65636.0,65636.0,96560.0,11096.0,199900.0,1474.0,66753.0,568943.0,7831.0,59143.0
Puerto Rico,0400000US72,3529385.0,39.4,2448085.0,848735.0,2433332.0,541490.0,397284.0,543778.0,543778.0,208832.0,15439.0,118600.0,2101.0,425085.0,3496728.0,8869.0,19606.0
